Phenotype,HGNC
Hypobetalipoproteinemia,APOB
"{?Alzheimer disease, protection against, due to APOE3-Christchurch}",APOE
"{?Macular degeneration, age-related}",APOE
"{Coronary artery disease, severe, susceptibility to}",APOE
Alzheimer disease 2,APOE
"Hyperlipoproteinemia, type III",APOE
Lipoprotein glomerulopathy,APOE
Sea-blue histiocyte disease,APOE
?Keratosis pilaris atrophicans,LRP1
Developmental dysplasia of the hip 3,LRP1
46XX sex reversal 5,NR2F2
"Congenital heart defects, multiple types, 4",NR2F2
[Aquaporin-1 deficiency],AQP1
"[Blood group, Colton]",AQP1
"Diabetes insipidus, nephrogenic, 2",AQP2
"Leukodystrophy, hypomyelinating, 9",RARS1
Aromatase deficiency,CYP19A1
Aromatase excess syndrome,CYP19A1
Aromatic L-amino acid decarboxylase deficiency,DDC
Asparagine synthetase deficiency,ASNS
"Neurodevelopmental disorder with microcephaly, impaired language, and gait abnormalities, autosomal recessive",NARS1
"Neurodevelopmental disorder with microcephaly, impaired language, epilepsy, and gait abnormalities, autosomal dominant",NARS1
Brody myopathy,ATP2A1
"Intellectual developmental disorder, autosomal dominant 66",ATP2B1
"{Deafness, autosomal recessive 12, modifier of}",ATP2B2
"Deafness, autosomal dominant 82",ATP2B2
Acrokeratosis verruciformis,ATP2A2
Darier disease,ATP2A2
"Epilepsy, early-onset, 3, with or without developmental delay",ATP6V0C
"Cutis laxa, autosomal recessive, type IIC",ATP6V1E1
"Atrial fibrillation, familial, 6",NPPA
Atrial standstill 2,NPPA
"Acromesomelic dysplasia 1, Maroteaux type",NPR2
"Epiphyseal chondrodysplasia, Miura type",NPR2
Short stature with nonspecific skeletal abnormalities,NPR2
Boudin-Mortier syndrome,NPR3
"Myelofibrosis, somatic","CALR,JAK2,SH2B3"
"Thrombocythemia, somatic","CALR,SH2B3"
"[Blood group, Diego]",SLC4A1
"[Blood group, Froese]",SLC4A1
"[Blood group, Swann]",SLC4A1
"[Blood group, Waldner]",SLC4A1
"[Blood group, Wright]",SLC4A1
"{Malaria, resistance to}","SLC4A1,GYPC,HBB,NOS2,FCGR2B,GYPA,GYPB"
Cryohydrocytosis,SLC4A1
Distal renal tubular acidosis 1,SLC4A1
Distal renal tubular acidosis 4 with hemolytic anemia,SLC4A1
"Ovalocytosis, SA type",SLC4A1
"Spherocytosis, type 4",SLC4A1
"?Osteopetrosis, autosomal recessive 9",SLC4A2
"[Blood group, OK]",BSG
"Immunodeficiency with hyper-IgM, type 3",CD40
"Leukemia/lymphoma, B-cell, 3",BCL3
[Resting heart rate],ADRB1
"[Short sleep, familial natural, 2]",ADRB1
"Beta-2-adrenoreceptor agonist, reduced response to",ADRB2
"{Obesity, susceptibility to}","ADRB3,ENPP1,GHRL,FFAR4"
"?Amyloidosis, familial visceral",B2M
Immunodeficiency 43,B2M
Hyperbiliverdinemia,BLVRA
"Periodic fever, menstrual cycle dependent",HTR1A
"[Blood group, ABO system]",ABO
"[Blood group, Dombrock]",ART4
"[Blood group, Gerbich]",GYPC
"[Blood group, Lewis]",FUT3
"[Blood group, RH system]",RHD
"{Hemolytic disease of fetus and newborn, RH-induced}",RHD
"Rh-null disease, amorph type",RHCE
"[Blood group, Sid system]",B4GALNT2
Sd(a) polyagglutination syndrome,B4GALNT2
Agammaglobulinemia 3,CD79A
"?Immunodeficiency, common variable, 5",MS4A1
"{HFE hemochromatosis, modifier of}",BMP2
"Brachydactyly, type A2","BMP2,GDF5,BMPR1B"
"Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies 1",BMP2
"Microphthalmia, syndromic 6",BMP4
Orofacial cleft 11,BMP4
"Osteogenesis imperfecta, type XIII",BMP1
"{Iron overload, susceptibility to}",BMP6
?Hypervalinemia or hyperleucine-isoleucinemia,BCAT2
"Spondyloepimetaphyseal dysplasia, Isidor-Toutain type",RPL13
"{Breast-ovarian cancer, familial, 1}",BRCA1
"{Pancreatic cancer, susceptibility to, 4}",BRCA1
"Fanconi anemia, complementation group S",BRCA1
"Epidermolysis bullosa simplex 3, localized or generalized intermediate, with bp230 deficiency",DST
"Neuropathy, hereditary sensory and autonomic, type VI",DST
"Epidermolysis bullosa, junctional 4, intermediate",COL17A1
Epithelial recurrent erosion dystrophy,COL17A1
Developmental and epileptic encephalopathy 50,CAD
"Intellectual developmental disorder, autosomal dominant 3",CDH15
?Attention deficit-hyperactivity disorder 8,CDH2
"Agenesis of corpus callosum, cardiac, ocular, and genital syndrome",CDH2
Arrhythmogenic right ventricular dysplasia 14,CDH2
"Ectodermal dysplasia, ectrodactyly, and macular dystrophy",CDH3
"Hypotrichosis, congenital, with juvenile macular dystrophy",CDH3
"Cortical dysplasia, complex, with other brain malformations 9",CTNNA2
"?Intellectual developmental disorder, autosomal recessive 63",CAMK2A
"Intellectual developmental disorder, autosomal dominant 53",CAMK2A
"Peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads",CAST
"Arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development",PPP3CA
Developmental and epileptic encephalopathy 91,PPP3CA
"{Osteoporosis, postmenopausal, susceptibility}",CALCR
Long QT syndrome 14,CALM1
"Ventricular tachycardia, catecholaminergic polymorphic, 4",CALM1
Long QT syndrome 15,CALM2
"?Ventricular tachycardia, catecholaminergic polymorphic 6",CALM3
Long QT syndrome 16,CALM3
?Lymphatic malformation 8,CALCRL
Developmental and epileptic encephalopathy 110,CACNA2D1
Brugada syndrome 3,CACNA1C
Long QT syndrome 8,CACNA1C
"Neurodevelopmental disorder with hypotonia, language delay, and skeletal defects with or without seizures",CACNA1C
Timothy syndrome,CACNA1C
"Primary aldosteronism, seizures, and neurologic abnormalities",CACNA1D
Sinoatrial node dysfunction and deafness,CACNA1D
{Malignant hyperthermia susceptibility 5},CACNA1S
"{Thyrotoxic periodic paralysis, susceptibility to, 1}",CACNA1S
Congenital myopathy 18 due to dihydropyridine receptor defect,CACNA1S
"Hypokalemic periodic paralysis, type 1",CACNA1S
"Spastic paraplegia 76, autosomal recessive",CAPN1
"Muscular dystrophy, limb-girdle, autosomal dominant 4",CAPN3
"Muscular dystrophy, limb-girdle, autosomal recessive 1",CAPN3
"Myopathy, vacuolar, with CASQ1 aggregates",CASQ1
"Ventricular tachycardia, catecholaminergic polymorphic, 2",CASQ2
"{Encephalopathy, acute, infection-induced, susceptibility to, 9}",NUP214
"Leukemia, acute myeloid, somatic","NUP214,CEBPA,FLT3,JAK2,NPM1,KIT,KRAS,ETV6,PICALM"
"Leukemia, T-cell acute lymphoblastic, somatic",NUP214
Hyperammonemia due to carbonic anhydrase VA deficiency,CA5A
"Cerebellar ataxia, impaired intellectual development and dysequilibrium syndrome 3",CA8
"Drug metabolism, altered, CES1-related",CES1
"Maturity-onset diabetes of the young, type VIII",CEL
BDV syndrome,CPE
Okur-Chung neurodevelopmental syndrome,CSNK2A1
Poirier-Bienvenu neurodevelopmental syndrome,CSNK2B
Acatalasemia,CAT
"[Skin/hair/eye pigmentation, variation in, 11 (Melanesian blond hair)]",TYRP1
"Albinism, oculocutaneous, type III",TYRP1
"{Panic disorder, susceptibility to}",COMT
"{Schizophrenia, susceptibility to}","COMT,DRD3,HTR2A,SYN2,CHI3L1,RTN4R,MTHFR"
"Macular dystrophy, patterned, 2",CTNNA1
"Colorectal cancer, somatic","CTNNB1,DCC,FGFR3,MCC,AKT1,BRAF,NRAS,PIK3CA,BAX,EP300,BUB1B,AXIN2,DLC1,MLH3,PDGFRL,FLCN,APC"
Exudative vitreoretinopathy 7,CTNNB1
"Hepatocellular carcinoma, somatic","CTNNB1,IGF2R,PIK3CA,TP53,CASP8,AXIN1"
"Medulloblastoma, somatic","CTNNB1,PTCH2"
Neurodevelopmental disorder with spastic diplegia and visual defects,CTNNB1
"Ovarian cancer, somatic","CTNNB1,AKT1,ERBB2,PIK3CA,CDH1,OPCML,PRKN"
"Pilomatricoma, somatic",CTNNB1
Keratolytic winter erythema,CTSB
"Ceroid lipofuscinosis, neuronal, 10",CTSD
Global developmental delay with or without impaired intellectual development,CUX1
"?Leukemia, acute myeloid",CEBPA
"?Deafness, autosomal dominant 70",MCM2
Takenouchi-Kosaki syndrome,CDC42
Myotonic dystrophy 2,CNBP
"?Microcephaly 13, primary, autosomal recessive",CENPE
"[Hypoceruloplasminemia, hereditary]",CP
Cerebellar ataxia,CP
"Hemosiderosis, systemic, due to aceruloplasminemia",CP
"Leukodystrophy, hypomyelinating, 4",HSPD1
"Spastic paraplegia 13, autosomal dominant",HSPD1
Duane retraction syndrome 2,CHN1
"Myotonia congenita, dominant",CLCN1
"Myotonia congenita, recessive",CLCN1
Myotonia levior,CLCN1
[High density lipoprotein cholesterol level QTL 10],CETP
Hyperalphalipoproteinemia,CETP
"Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete",CYP11A1
"Myasthenic syndrome, congenital, 6, presynaptic",CHAT
"Neurodevelopmental disorder with microcephaly, movement abnormalities, and seizures",CHKA
Prune belly syndrome,CHRM3
"Epilepsy, nocturnal frontal lobe, type 4",CHRNA2
{Lung cancer susceptibility 2},"CHRNA3,CHRNA5"
"Bladder dysfunction, autonomic, with impaired pupillary reflex and secondary CAKUT",CHRNA3
"{Nicotine addiction, susceptibility to}",CHRNA4
"Epilepsy, nocturnal frontal lobe, 1",CHRNA4
"{Nicotine dependence, susceptibility to}","CHRNA5,GABBR2"
"Epilepsy, nocturnal frontal lobe, 3",CHRNB2
Wagner syndrome 1,VCAN
"Intellectual developmental disorder, autosomal dominant 56",CLTC
"Alport syndrome 3A, autosomal dominant",COL4A3
"Alport syndrome 3B, autosomal recessive",COL4A3
"Hematuria, benign familial, 2",COL4A3
"{Hemorrhage, intracerebral, susceptibility to}","COL4A2,COL4A1"
Brain small vessel disease 2,COL4A2
"Metaphyseal chondrodysplasia, Schmid type",COL10A1
Epidermolysis bullosa dystrophica inversa,COL7A1
"Epidermolysis bullosa dystrophica, autosomal dominant",COL7A1
"Epidermolysis bullosa dystrophica, autosomal recessive",COL7A1
"Epidermolysis bullosa dystrophica, Bart type",COL7A1
"Epidermolysis bullosa dystrophica, localisata variant",COL7A1
Epidermolysis bullosa pruriginosa,COL7A1
"Epidermolysis bullosa, pretibial",COL7A1
"Nail disorder, nonsyndromic congenital, 8",COL7A1
Transient bullous of the newborn,COL7A1
"?Retinal arteries, tortuosity of",COL4A1
"Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps",COL4A1
Brain small vessel disease with or without ocular anomalies,COL4A1
"Microangiopathy and leukoencephalopathy, pontine, autosomal dominant",COL4A1
"Alport syndrome 2, autosomal recessive",COL4A4
"Hematuria, familial benign, 1",COL4A4
"?Epiphyseal dysplasia, multiple, with myopia and deafness",COL2A1
?Vitreoretinopathy with phalangeal epiphyseal dysplasia,COL2A1
"Achondrogenesis, type II or hypochondrogenesis",COL2A1
Avascular necrosis of the femoral head,COL2A1
Czech dysplasia,COL2A1
Kniest dysplasia,COL2A1
Legg-Calve-Perthes disease,COL2A1
Osteoarthritis with mild chondrodysplasia,COL2A1
"Platyspondylic skeletal dysplasia, Torrance type",COL2A1
SED congenita,COL2A1
SMED Strudwick type,COL2A1
"Spondyloepiphyseal dysplasia, Stanescu type",COL2A1
Spondyloperipheral dysplasia,COL2A1
"Stickler syndrome, type I",COL2A1
"Stickler syndrome, type I, nonsyndromic ocular",COL2A1
"{Bone mineral density variation QTL, osteoporosis}",COL1A1
Caffey disease,COL1A1
Combined osteogenesis imperfecta and Ehlers-Danlos syndrome 1,COL1A1
"Ehlers-Danlos syndrome, arthrochalasia type, 1",COL1A1
"Osteogenesis imperfecta, type I",COL1A1
"Osteogenesis imperfecta, type II","COL1A1,COL1A2"
"Osteogenesis imperfecta, type III","COL1A1,COL1A2"
"Osteogenesis imperfecta, type IV","COL1A1,COL1A2"
"{Osteoporosis, postmenopausal}",COL1A2
Combined osteogenesis imperfecta and Ehlers-Danlos syndrome 2,COL1A2
"Ehlers-Danlos syndrome, arthrochalasia type, 2",COL1A2
"Ehlers-Danlos syndrome, cardiac valvular type",COL1A2
"Ehlers-Danlos syndrome, vascular type",COL3A1
Polymicrogyria with or without vascular-type EDS,COL3A1
"Ehlers-Danlos syndrome, classic type, 2",COL5A2
"?Epiphyseal dysplasia, multiple, 6",COL9A1
"Stickler syndrome, type IV",COL9A1
"Ehlers-Danlos syndrome, classic type, 1",COL5A1
"Fibromuscular dysplasia, multifocal",COL5A1
Bethlem myopathy 1,"COL6A1,COL6A2,COL6A3"
Ullrich congenital muscular dystrophy 1,"COL6A1,COL6A2,COL6A3"
"?Myosclerosis, congenital",COL6A2
Dystonia 27,COL6A3
"Corneal dystrophy, Fuchs endothelial, 1",COL8A2
"Corneal dystrophy, posterior polymorphous 2",COL8A2
"?Stickler syndrome, type V",COL9A2
"Epiphyseal dysplasia, multiple, 2",COL9A2
"{Intervertebral disc disease, susceptibility to}",COL9A3
"Epiphyseal dysplasia, multiple, 3, with or without myopathy",COL9A3
"Stickler syndrome, type VI",COL9A3
"{Lumbar disc herniation, susceptibility to}","COL11A1,THBS2"
"Deafness, autosomal dominant 37",COL11A1
Fibrochondrogenesis 1,COL11A1
Marshall syndrome,COL11A1
"Stickler syndrome, type II",COL11A1
"Deafness, autosomal dominant 13",COL11A2
"Deafness, autosomal recessive 53",COL11A2
Fibrochondrogenesis 2,COL11A2
"Otospondylomegaepiphyseal dysplasia, autosomal dominant",COL11A2
"Otospondylomegaepiphyseal dysplasia, autosomal recessive",COL11A2
?Ullrich congenital muscular dystrophy 2,COL12A1
Bethlem myopathy 2,COL12A1
"Glaucoma, primary closed-angle",COL18A1
"Knobloch syndrome, type 1",COL18A1
"Myasthenic syndrome, congenital, 19",COL13A1
"{Epidermolysis bullosa dystrophica, autosomal recessive, modifier of}",MMP1
"COPD, rate of decline of lung function in",MMP1
"Multicentric osteolysis, nodulosis, and arthropathy",MMP2
Metaphyseal anadysplasia 2,MMP9
Lynch syndrome 2,MLH1
Mismatch repair cancer syndrome 1,MLH1
Muir-Torre syndrome,"MLH1,MSH2"
"Esophageal carcinoma, somatic","DCC,RNF6"
"Gaze palsy, familial horizontal, with progressive scoliosis, 2",DCC
Mirror movements 1 and/or agenesis of the corpus callosum,DCC
?Spinocerebellar ataxia 43,MME
"Charcot-Marie-Tooth disease, axonal, type 2T",MME
C1q deficiency 1,C1QA
C1q deficiency 2,C1QB
C1q deficiency 3,C1QC
C1s deficiency,C1S
"Ehlers-Danlos syndrome, periodontal type, 2",C1S
"[Blood group, Knops system]",CR1
"{Malaria, severe, resistance to}",CR1
"?Immunodeficiency, common variable, 7",CR2
"{Systemic lupus erythematosus, susceptibility to, 9}",CR2
"{Hemolytic uremic syndrome, atypical, susceptibility to, 5}",C3
"{Macular degeneration, age-related, 9}",C3
C3 deficiency,C3
"[Blood group, Rodgers]",C4A
C4a deficiency,C4A
C4B deficiency,C4B
"[Eculizumab, poor response to]",C5
C5 deficiency,C5
"{Hemolytic uremic syndrome, atypical, susceptibility to, 2}",CD46
"{Macular degeneration, age-related, 15, susceptibility to}",C9
C9 deficiency,C9
"C8 deficiency, type I",C8A
"C8 deficiency, type II",C8B
Bart-Pumphrey syndrome,GJB2
"Deafness, autosomal dominant 3A",GJB2
"Deafness, autosomal recessive 1A",GJB2
Hystrix-like ichthyosis with deafness,GJB2
Keratitis-ichthyosis-deafness syndrome,GJB2
"Keratoderma, palmoplantar, with deafness",GJB2
Vohwinkel syndrome,GJB2
"Atrial fibrillation, familial, 11",GJA5
"Atrial standstill, digenic (GJA5/SCN5A)",GJA5
"Craniometaphyseal dysplasia, autosomal recessive",GJA1
Erythrokeratodermia variabilis et progressiva 3,GJA1
Oculodentodigital dysplasia,GJA1
"Oculodentodigital dysplasia, autosomal recessive",GJA1
Palmoplantar keratoderma with congenital alopecia,GJA1
"Syndactyly, type III",GJA1
"Cataract 14, multiple types",GJA3
Cleidocranial dysplasia 2,CBFB
Corticosteroid-binding globulin deficiency,SERPINA6
"{Lung cancer, resistance to}",CYP2A6
"{Nicotine addiction, protection from}",CYP2A6
Coumarin resistance,CYP2A6
Craniosynostosis 2,MSX2
Parietal foramina 1,MSX2
Parietal foramina with cleidocranial dysplasia,MSX2
"Cataract 9, multiple types",CRYAA
"Cardiomyopathy, dilated, 1II",CRYAB
"Cataract 16, multiple types",CRYAB
"Myopathy, myofibrillar, 2",CRYAB
"Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related",CRYAB
"Cataract 10, multiple types",CRYBA1
"Cataract 3, multiple types",CRYBB2
Cataract 22,CRYBB3
Cataract 23,CRYBA4
"Cataract 39, multiple types, autosomal dominant",CRYGB
"Cataract 2, multiple types",CRYGC
"Cataract 4, multiple types",CRYGD
"Lipodystrophy, congenital generalized, type 5",PCYT1A
Spondylometaphyseal dysplasia with cone-rod dystrophy,PCYT1A
"Cataract 20, multiple types",CRYGS
"Deafness, autosomal dominant 40",CRYM
Hypertension and brachydactyly syndrome,PDE3A
"Histiocytoma, angiomatoid fibrous, somatic",CREB1
Retinitis pigmentosa 49,CNGA1
"{Melanoma, cutaneous malignant, 3}",CDK4
"?Leukodystrophy, hypomyelinating, 20",CNP
?Lissencephaly 7 with cerebellar hypoplasia,CDK5
Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3,CCND2
"Osteogenesis imperfecta, type IX",PPIB
"Microcephaly, developmental delay, and brittle hair syndrome",CARS1
Immunodeficiency 24,CTPS1
"Mitochondrial complex IV deficiency, nuclear type 16",COX4I1
"?Mitochondrial complex IV deficiency, nuclear type 15",COX8A
"{Hepatitis B virus, susceptibility to}","IL10RB,IFNAR2"
"Inflammatory bowel disease 25, early onset, autosomal recessive",IL10RB
"{Celiac disease, susceptibility to, 3}",CTLA4
"{Diabetes mellitus, insulin-dependent, 12}",CTLA4
{Hashimoto thyroiditis},CTLA4
"{Systemic lupus erythematosus, susceptibility to}","CTLA4,DNASE1,FCGR2B,TREX1"
"Immune dysregulation with autoimmunity, immunodeficiency, and lymphoproliferation",CTLA4
"{Efavirenz central nervous system toxicity, susceptibility to}",CYP2B6
"Efavirenz, poor metabolism of",CYP2B6
White sponge nevus 1,KRT4
Thrombocytopenia 4,CYCS
"Mitochondrial complex III deficiency, nuclear type 6",CYC1
"Vitamin D-dependent rickets, type 3",CYP3A4
Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis,POR
Disordered steroidogenesis due to cytochrome P450 oxidoreductase,POR
"Clopidogrel, impaired responsiveness to",CYP2C19
Mephenytoin poor metabolizer,CYP2C19
Omeprazole poor metabolizer,CYP2C19
Proguanil poor metabolizer,CYP2C19
{Codeine sensitivity},CYP2D6
{Debrisoquine sensitivity},CYP2D6
"{Low renin hypertension, susceptibility to}",CYP11B2
Aldosterone to renin ratio raised,CYP11B2
"Hypoaldosteronism, congenital, due to CMO I deficiency",CYP11B2
"Hypoaldosteronism, congenital, due to CMO II deficiency",CYP11B2
"Mitochondrial complex IV deficiency, nuclear type 7",COX6B1
"{Graft-versus-host disease, protection against}",IL10
"{HIV-1, susceptibility to}",IL10
"{Rheumatoid arthritis, progression of}",IL10
[Blood group Cromer],CD55
"Complement hyperactivation, angiopathic thrombosis, and protein-losing enteropathy",CD55
"Corneal dystrophy, congenital stromal",DCN
"Leukemia, acute nonlymphocytic",DEK
"{Lead poisoning, susceptibility to}",ALAD
"Porphyria, acute hepatic",ALAD
"Deafness, autosomal dominant 39, with dentinogenesis",DSPP
"Dentin dysplasia, type II",DSPP
"Dentinogenesis imperfecta, Shields type II",DSPP
"Dentinogenesis imperfecta, Shields type III",DSPP
Arrhythmogenic right ventricular dysplasia 11,DSC2
Arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair,DSC2
Arrhythmogenic right ventricular dysplasia 8,DSP
